id;laboratory_id;laboratory;instrument_id;instrument;department_id;department
1;range anti;descriptive;athwart ringworm;regularly;quirk;toward blah yearly
2;nutmeg;bellyache;federate octave;unfortunately growling yet;edible;dandle pish income
3;crossly;elaborate boastfully;average reproachfully pricey;qua but;unbearably piercing;up imitate
4;yuck likely modulo;nor dory;as;er;borrowing into fickle;glue
5;apt;ugh;and ouch not;phooey how symptom;jolly profitable fooey;reconcile well-off
6;sans remake;blah;accord;bolster next;annual inhibit pest;for
7;resect amidst clueless;nightclub likewise hourly;loosely boo lovable;speed reluctantly;advanced;bravely frenetically nondisclosure
8;extremely;bid subway codon;unloosen issue at;unlike;commonly sophisticated estrogen;furthermore
9;potentially;circa with statue;mediocre numismatist aside;including;hmph;despite why hence
10;because whose;decisive;ah prefix;definite;boo lopsided;within
