id;laboratory_id;laboratory;stock_item_id;stock_item;department_id;department
1;hmph puny preserve;zowie;accouter map youthfully;till;insignificant;what upon
2;dehydrate polite;keenly clearly boldly;heat sock backfire;considering;sharply hence;vice kindhearted warp
3;owlishly murmur meh;tournament dynamite down;afore thunderbolt astride;merrily towel dock;pasture liquefy notwithstanding;separately
4;female;profile yippee;whether anchored;dangerous;dowse whirr though;hence witty upon
5;throughout;whenever because amalgamate;ensure;metallurgist loyally;animated the;anglicize barring
6;instead crumble;for whose aboard;hydraulics;heartfelt serval;notwithstanding;far-off
7;as honestly diverge;verbally plough;heavily helpfully;lest outlast squabble;refuel;limply
8;half ugh gosh;hm;gosh sandy creative;wisely turbulent;unless;heavenly boldly
9;well;inconvenience around generous;down via through;milk excluding gah;from;usefully within aside
10;metabolite;quarrelsomely corrode for;ah chutney unnaturally;aboard;drafty upside-down adjoin;academic
