id;laboratory_id;laboratory;activity;activity_details;outcomes;comments;reporting_period_id
1;excavate;spanish mallet fondly;peter;imperturbable barring keen;drat complete;barring revel;boldly colorfully loosely
2;yum;not initiate;accoutre gadzooks;educated medium;drat acidly pish;unethically up procrastinate;including annually tender
3;idealistic;aha;meaningfully bashfully;switching;nor;gah;behind stealthily apropos
4;although;past huzzah;brr because;longingly;ack;inquisitively medical excited;onto chilly gadzooks
5;ball hence;aw;blowhole;over likewise;prevaricate defense;whittle gosh hm;as ah boohoo
6;daisy;warrant;whenever feather bah;gadzooks monstrous cannibal;thrifty physically female;pitiful;pattern process quirkily
7;sluice;for;about;concerning;like until descriptive;oh into over;solemnly unabashedly since
8;adorn now;accidentally often;descry sale;defuse where;round;yuck down psychology;consequently astrolabe
9;following wine incidentally;down puppet inclusion;salon hm supposing;yowza;mistake seminar;suspiciously;annual beside
10;oldie filthy topsail;beyond that dynamite;pine even;ew against;as;phooey ladder sphynx;fancy whose
