id;laboratory_id;laboratory;outbreak;disease;comment;reporting_period_id
1;off wherever;eek persuade that;YES;ouch;finally trivial maracas;near than
2;out trim;mandate sightsee aver;YES;encircle noise crooked;while;doodle so tread
3;phooey yippee since;cinnamon;YES;aboard;harangue whether;lively bah
4;gracefully;oof;NO;concerning;ew lively turret;nettle
5;except sadly versus;helpfully judgementally pore;YES;overconfidently even ew;or bustle;for
6;violently common attractive;scarcely wipe even;NO;click memorial apropos;independence;uh-huh
7;bad mime;save after round;YES;mmm svelte network;fooey;space
8;vice instead;than;NO;lighting unless gah;suspiciously lavish heavily;whereas
9;vote;furlough;NO;deafening yowza privilege;naughty showy;relinquish
10;regress ew elastic;till if unaccountably;YES;woozy phew;piglet phew;onto or than
