id;laboratory_id;laboratory;department_id;department;scientist_available;scientist_required;microscopits_available;microscopits_required;lab_techs_available;lab_techs_required;general_hands_available;general_hands_required
1;yet;distance help;facet styling;leaven;19637;24114;13224;23035;11114;20659;10195;6428
2;than;repeatedly;bah more ouch;revelation who ha;4721;27996;25305;4825;26218;32060;11585;6880
3;ack;phooey;in boohoo;finally vote;325;7756;27723;1834;25001;5385;9771;26325
4;quaintly but;pfft lightly;officially;zowie refund;16801;7333;20771;6818;15391;13664;10972;17903
5;down;arrogantly;rundown;inwardly advancement wreck;25670;20382;28646;7251;18237;11679;13107;27790
6;armor;reliable ick ack;inside;handsome sternly;9440;26461;25557;3573;26187;7913;7988;32612
7;now;give;above what excoriate;boo hungry jumbo;30221;19730;25495;29402;15615;10934;4159;10388
8;unnaturally gratefully unsteady;oblong;rarely plus till;although;4629;30705;21978;29688;2377;3852;31064;11718
9;beautifully icy;astrakhan dreamily;amidst fooey;yahoo bland incredible;30175;27422;19532;15508;31746;7347;26256;14056
10;unimpressively inside;hm pfft inhibition;until yippee;doubtfully silver;14020;8765;17864;19837;9030;4354;7224;9696
